"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Cowlitz","CITY OF LONGVIEW Council Position 7","Spencer C. Boudreau"," ","2251","37.9084","City/Town"
"Cowlitz","CITY OF LONGVIEW Council Position 7","Marianne Chambers"," ","885","14.904","City/Town"
"Cowlitz","CITY OF LONGVIEW Council Position 7","WRITE-IN"," ","20","0.3368","City/Town"
"Cowlitz","FT VANCOUVER REGIONAL LIBRARY DIST. Proposition No. 1","Yes"," ","325","39.7797","Library"
"Cowlitz","FT VANCOUVER REGIONAL LIBRARY DIST. Proposition No. 1","No"," ","492","60.2203","Library"
"Douglas","PUBLIC HOSPITAL DISTRICT NO. 1 Renewal of Special One-Year Excess Levy","Approved"," ","129","54.4304","Hospital"
"Douglas","PUBLIC HOSPITAL DISTRICT NO. 1 Renewal of Special One-Year Excess Levy","Rejected"," ","108","45.5696","Hospital"
"Ferry","TOWN OF REPUBLIC Councilperson #5","Loni Simone"," ","105","67.7419","City/Town"
"Ferry","TOWN OF REPUBLIC Councilperson #5","Scott Powers"," ","30","19.3548","City/Town"
"Ferry","TOWN OF REPUBLIC Councilperson #5","Oakley R. Robins"," ","19","12.2581","City/Town"
"Ferry","TOWN OF REPUBLIC Councilperson #5","WRITE-IN"," ","1","0.6452","City/Town"
"Franklin","CITY OF CONNELL Councilmember, At Large, Position 1, Mayor","Shelly Harper"," ","168","51.5337","City/Town"
"Franklin","CITY OF CONNELL Councilmember, At Large, Position 1, Mayor","Irineo Salas"," ","47","14.4172","City/Town"
"Franklin","CITY OF CONNELL Councilmember, At Large, Position 1, Mayor","Patricia Barrera"," ","111","34.0491","City/Town"
"Franklin","CITY OF CONNELL Councilmember, At Large, Position 1, Mayor","WRITE-IN"," ","0","0","City/Town"
"Grant","Grant County  Hospital Dist #3 Proposition No. 1","Approved...."," ","1013","45.5896","Hospital"
"Grant","Grant County  Hospital Dist #3 Proposition No. 1","Rejected..."," ","1209","54.4104","Hospital"
"Grant","Soap Lake School Dist #156 SCHOOL DIRECTOR #05 AL","Mark Novik"," ","145","33.8785","School"
"Grant","Soap Lake School Dist #156 SCHOOL DIRECTOR #05 AL","Rebecca Leavell"," ","184","42.9907","School"
"Grant","Soap Lake School Dist #156 SCHOOL DIRECTOR #05 AL","Dwight L Deines"," ","95","22.1963","School"
"Grant","Soap Lake School Dist #156 SCHOOL DIRECTOR #05 AL","WRITE-IN"," ","4","0.9346","School"
"Grant","City of Grand Coulee MAYOR","Chantel Crowe"," ","103","55.0802","City/Town"
"Grant","City of Grand Coulee MAYOR","Ruth Dalton"," ","66","35.2941","City/Town"
"Grant","City of Grand Coulee MAYOR","Micah Seekins"," ","16","8.5561","City/Town"
"Grant","City of Grand Coulee MAYOR","WRITE-IN"," ","2","1.0695","City/Town"
"Grant","CITY OF QUINCY CITY COUNCIL MEMBER #02","Rob Madera"," ","234","36.1111","City/Town"
"Grant","CITY OF QUINCY CITY COUNCIL MEMBER #02","Jeff L Spence"," ","367","56.6358","City/Town"
"Grant","CITY OF QUINCY CITY COUNCIL MEMBER #02","Lupe Hernandez"," ","46","7.0988","City/Town"
"Grant","CITY OF QUINCY CITY COUNCIL MEMBER #02","WRITE-IN"," ","1","0.1543","City/Town"
"Grant","CITY OF QUINCY CITY COUNCIL MEMBER #04","Rey Esparza"," ","184","28.483","City/Town"
"Grant","CITY OF QUINCY CITY COUNCIL MEMBER #04","Andrew Royer"," ","425","65.7895","City/Town"
"Grant","CITY OF QUINCY CITY COUNCIL MEMBER #04","Josue Madera"," ","36","5.5728","City/Town"
"Grant","CITY OF QUINCY CITY COUNCIL MEMBER #04","WRITE-IN"," ","1","0.1548","City/Town"
"Grant","CITY OF QUINCY CITY COUNCIL MEMBER #05","Pete Shelton"," ","177","27.6563","City/Town"
"Grant","CITY OF QUINCY CITY COUNCIL MEMBER #05","Dave Dormier"," ","334","52.1875","City/Town"
"Grant","CITY OF QUINCY CITY COUNCIL MEMBER #05","Ricardo Ruesga Loera"," ","128","20","City/Town"
"Grant","CITY OF QUINCY CITY COUNCIL MEMBER #05","WRITE-IN"," ","1","0.1563","City/Town"
"Grays Harbor","ABERDEEN COUNCIL WARD 2 Position 4","Ryan Housden"," ","26","16.1491","City/Town"
"Grays Harbor","ABERDEEN COUNCIL WARD 2 Position 4","Justin B. McFadden"," ","8","4.9689","City/Town"
"Grays Harbor","ABERDEEN COUNCIL WARD 2 Position 4","Jerry Rajcich"," ","116","72.0497","City/Town"
"Grays Harbor","ABERDEEN COUNCIL WARD 2 Position 4","Darrin Lee Bates"," ","11","6.8323","City/Town"
"Grays Harbor","ABERDEEN COUNCIL WARD 2 Position 4","WRITE-IN"," ","0","0","City/Town"
"Grays Harbor","Fire Protection Dist 12 Property Tax Levy for Fire Protection and Emergency Services","Levy...Yes"," ","3","15","Fire"
"Grays Harbor","Fire Protection Dist 12 Property Tax Levy for Fire Protection and Emergency Services","Levy...No"," ","17","85","Fire"
"Grays Harbor","City of Elma Levy to Partially Fund Police Services for 2026","Yes"," ","205","52.0305","City/Town"
"Grays Harbor","City of Elma Levy to Partially Fund Police Services for 2026","No"," ","189","47.9695","City/Town"
"Grays Harbor","City of Oakville Mayor","Bill Breedlove"," ","27","47.3684","City/Town"
"Grays Harbor","City of Oakville Mayor","Robert Lee Colgrove"," ","1","1.7544","City/Town"
"Grays Harbor","City of Oakville Mayor","Angelo Cilluffo"," ","28","49.1228","City/Town"
"Grays Harbor","City of Oakville Mayor","Sheila A Jones"," ","1","1.7544","City/Town"
"Grays Harbor","City of Oakville Mayor","WRITE-IN"," ","0","0","City/Town"
"Grays Harbor","MARY M KNIGHT SCHOOL 311 School Board Director Position No. 1","Tracey Ushman"," ","6","31.5789","School"
"Grays Harbor","MARY M KNIGHT SCHOOL 311 School Board Director Position No. 1","Kayla Mali"," ","10","52.6316","School"
"Grays Harbor","MARY M KNIGHT SCHOOL 311 School Board Director Position No. 1","Tessa Fatland"," ","2","10.5263","School"
"Grays Harbor","MARY M KNIGHT SCHOOL 311 School Board Director Position No. 1","WRITE-IN"," ","1","5.2632","School"
"Grays Harbor","Sch Dist 5 - Aberdeen School 5 Position 4","Michelle Sturges"," ","139","10.834","School"
"Grays Harbor","Sch Dist 5 - Aberdeen School 5 Position 4","Jeremy C Wright"," ","381","29.696","School"
"Grays Harbor","Sch Dist 5 - Aberdeen School 5 Position 4","Jeanne Marll"," ","745","58.067","School"
"Grays Harbor","Sch Dist 5 - Aberdeen School 5 Position 4","WRITE-IN"," ","18","1.403","School"
"Grays Harbor","South Beach Regional Fire Authority Emergency Medical Services Levy Lid Lift","Approved"," ","499","65.6579","Fire"
"Grays Harbor","South Beach Regional Fire Authority Emergency Medical Services Levy Lid Lift","Rejected"," ","261","34.3421","Fire"
"Island","FIRE DISTRICT NO 1 Island County Fire Protection District No. 1 (known as Camano Island Fire &amp; Rescue) - Renewal of Six Year Emergency Medical Services Property Tax Levy","Yes"," ","4321","74.423","Fire"
"Island","FIRE DISTRICT NO 1 Island County Fire Protection District No. 1 (known as Camano Island Fire &amp; Rescue) - Renewal of Six Year Emergency Medical Services Property Tax Levy","No"," ","1485","25.577","Fire"
"Island","PUBLIC HOSPITAL DIST Commissioner, Position 5","Dennis Rochier"," ","5081","45.2409","Hospital"
"Island","PUBLIC HOSPITAL DIST Commissioner, Position 5","Kirk Gasper"," ","4578","40.7622","Hospital"
"Island","PUBLIC HOSPITAL DIST Commissioner, Position 5","Morgan Cooper"," ","629","5.6006","Hospital"
"Island","PUBLIC HOSPITAL DIST Commissioner, Position 5","Theodore C. Smith"," ","839","7.4704","Hospital"
"Island","PUBLIC HOSPITAL DIST Commissioner, Position 5","WRITE-IN"," ","104","0.926","Hospital"
"Island","CENTRAL WHIDBEY FIRE Commissioner, Position 2","Larry Goff"," ","1437","62.1809","Fire"
"Island","CENTRAL WHIDBEY FIRE Commissioner, Position 2","Christopher E Chan"," ","794","34.3574","Fire"
"Island","CENTRAL WHIDBEY FIRE Commissioner, Position 2","Scott Austin"," ","73","3.1588","Fire"
"Island","CENTRAL WHIDBEY FIRE Commissioner, Position 2","WRITE-IN"," ","7","0.3029","Fire"
"Jefferson","City of Port Townsend Council Member, Position 1","Fred Obee"," ","2049","72.5053","City/Town"
"Jefferson","City of Port Townsend Council Member, Position 1","Mikki Porter"," ","127","4.494","City/Town"
