"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Kittitas","HOSPITAL DISTRICT 1 Levy Lid Lift for Health Care Services","Approved"," ","2796","53.0852","Hospital"
"Kittitas","HOSPITAL DISTRICT 1 Levy Lid Lift for Health Care Services","Rejected"," ","2471","46.9148","Hospital"
"Kittitas","SELAH SCHOOL DISTRICT NO. 119 Director, Position 1 at-large","Katrina Henkle"," ","0","0","School"
"Kittitas","SELAH SCHOOL DISTRICT NO. 119 Director, Position 1 at-large","Ricky Adams"," ","4","57.1429","School"
"Kittitas","SELAH SCHOOL DISTRICT NO. 119 Director, Position 1 at-large","Larry Patching"," ","3","42.8571","School"
"Kittitas","SELAH SCHOOL DISTRICT NO. 119 Director, Position 1 at-large","Job Rabinowitz"," ","0","0","School"
"Kittitas","SELAH SCHOOL DISTRICT NO. 119 Director, Position 1 at-large","WRITE-IN"," ","0","0","School"
"Kittitas","CITY OF ELLENSBURG Council 1","Geraldine O'Mahony"," ","468","19.6639","City/Town"
"Kittitas","CITY OF ELLENSBURG Council 1","John Sinclair"," ","1050","44.1176","City/Town"
"Kittitas","CITY OF ELLENSBURG Council 1","Nancy Lillquist"," ","853","35.8403","City/Town"
"Kittitas","CITY OF ELLENSBURG Council 1","WRITE-IN"," ","9","0.3782","City/Town"
"Kittitas","CITY OF ELLENSBURG Council 2","Owen Blauman"," ","206","8.7772","City/Town"
"Kittitas","CITY OF ELLENSBURG Council 2","Nancy Goodloe"," ","1214","51.7256","City/Town"
"Kittitas","CITY OF ELLENSBURG Council 2","Arin R Smith"," ","917","39.0712","City/Town"
"Kittitas","CITY OF ELLENSBURG Council 2","WRITE-IN"," ","10","0.4261","City/Town"
"Kittitas","CITY OF ELLENSBURG Council 3","Delano Palmer"," ","1138","48.4049","City/Town"
"Kittitas","CITY OF ELLENSBURG Council 3","Fennelle Miller"," ","230","9.7831","City/Town"
"Kittitas","CITY OF ELLENSBURG Council 3","Sam Ezell"," ","976","41.5142","City/Town"
"Kittitas","CITY OF ELLENSBURG Council 3","WRITE-IN"," ","7","0.2977","City/Town"
"Kittitas","FIRE DISTRICT 7 Levy Lid Lift","Approved"," ","818","69.9145","Fire"
"Kittitas","FIRE DISTRICT 7 Levy Lid Lift","Rejected"," ","352","30.0855","Fire"
"Klickitat","FT VANCOUVER REGIONAL LIBRARY DIST. Proposition No. 1","Yes"," ","2668","55.0671","Library"
"Klickitat","FT VANCOUVER REGIONAL LIBRARY DIST. Proposition No. 1","No"," ","2177","44.9329","Library"
"Klickitat","BINGEN MUNICIPAL Proposition No. 1","YES"," ","70","86.4198","City/Town"
"Klickitat","BINGEN MUNICIPAL Proposition No. 1","NO"," ","11","13.5802","City/Town"
"Lewis","CENTRALIA COUNCIL DIST #2 Council District 2","Ray Chapman-Wilson"," ","151","33.3333","City/Town"
"Lewis","CENTRALIA COUNCIL DIST #2 Council District 2","Leah Sisemore"," ","180","39.7351","City/Town"
"Lewis","CENTRALIA COUNCIL DIST #2 Council District 2","Chuck Kifer"," ","121","26.7108","City/Town"
"Lewis","CENTRALIA COUNCIL DIST #2 Council District 2","WRITE-IN"," ","1","0.2208","City/Town"
"Lewis","WINLOCK CITY Mayor","Jodie Curtis"," ","85","20.4819","City/Town"
"Lewis","WINLOCK CITY Mayor","Victoria Marincin"," ","206","49.6386","City/Town"
"Lewis","WINLOCK CITY Mayor","America Lunsford"," ","13","3.1325","City/Town"
"Lewis","WINLOCK CITY Mayor","Brandon Svenson"," ","108","26.0241","City/Town"
"Lewis","WINLOCK CITY Mayor","WRITE-IN"," ","3","0.7229","City/Town"
"Lewis","MOSSYROCK SCHOOL DISTRICT NO. 206 Replacement Educational Programs and Operations Levy","Yes"," ","697","52.9635","School"
"Lewis","MOSSYROCK SCHOOL DISTRICT NO. 206 Replacement Educational Programs and Operations Levy","No"," ","619","47.0365","School"
"Lewis","WHITE PASS SCHOOL DISTRICT NO. 303 School Programs and Operations Replacement Levy","Levy Yes"," ","678","56.5943","School"
"Lewis","WHITE PASS SCHOOL DISTRICT NO. 303 School Programs and Operations Replacement Levy","Levy No"," ","520","43.4057","School"
"Lewis","WINLOCK SCHOOL DISTRICT NO. 232 Director District 2","Taylor Myers"," ","435","47.2313","School"
"Lewis","WINLOCK SCHOOL DISTRICT NO. 232 Director District 2","Stevie Bennett"," ","151","16.3952","School"
"Lewis","WINLOCK SCHOOL DISTRICT NO. 232 Director District 2","Jarryd Forler"," ","326","35.3963","School"
"Lewis","WINLOCK SCHOOL DISTRICT NO. 232 Director District 2","WRITE-IN"," ","9","0.9772","School"
"Lewis","FIRE DISTRICT 4 - MORTON Bonds to Construct a New Fire Station","Approved"," ","345","66.9903","Fire"
"Lewis","FIRE DISTRICT 4 - MORTON Bonds to Construct a New Fire Station","Rejected"," ","170","33.0097","Fire"
"Lewis","FIRE DISTRICT 5 - NAPAVINE Commissioner Position 2","Sam Patrick"," ","172","14.6383","Fire"
"Lewis","FIRE DISTRICT 5 - NAPAVINE Commissioner Position 2","Tom Crowson"," ","713","60.6809","Fire"
"Lewis","FIRE DISTRICT 5 - NAPAVINE Commissioner Position 2","Rick LeBoeuf"," ","275","23.4043","Fire"
"Lewis","FIRE DISTRICT 5 - NAPAVINE Commissioner Position 2","WRITE-IN"," ","15","1.2766","Fire"
"Lincoln","Lincoln PROSECUTING ATTORNEY","Ty Albertson","(Prefers Republican Party)","1559","96.8323","County"
"Lincoln","Lincoln PROSECUTING ATTORNEY","WRITE-IN"," ","51","3.1677","County"
"Lincoln","CITY OF DAVENPORT COUNCILMAN NO. 1","Libbie Klettke"," ","76","35.3488","City/Town"
"Lincoln","CITY OF DAVENPORT COUNCILMAN NO. 1","Daniel Coriell"," ","19","8.8372","City/Town"
"Lincoln","CITY OF DAVENPORT COUNCILMAN NO. 1","Michael Strite"," ","118","54.8837","City/Town"
"Lincoln","CITY OF DAVENPORT COUNCILMAN NO. 1","WRITE-IN"," ","2","0.9302","City/Town"
"Lincoln","CITY OF SPRAGUE MAYOR","Scooter Dearing"," ","36","35.6436","City/Town"
"Lincoln","CITY OF SPRAGUE MAYOR","Trace De Garmo"," ","12","11.8812","City/Town"
"Lincoln","CITY OF SPRAGUE MAYOR","Lucas Becker"," ","52","51.4851","City/Town"
"Lincoln","CITY OF SPRAGUE MAYOR","WRITE-IN"," ","1","0.9901","City/Town"
"Lincoln","HOSPITAL DISTRICT 1 COMMISSIONER NO. 4","Dee Deife"," ","99","27.9661","Hospital"
"Lincoln","HOSPITAL DISTRICT 1 COMMISSIONER NO. 4","Marlon K. Schafer"," ","78","22.0339","Hospital"
"Lincoln","HOSPITAL DISTRICT 1 COMMISSIONER NO. 4","Barbara A. Vogelsang"," ","175","49.435","Hospital"
"Lincoln","HOSPITAL DISTRICT 1 COMMISSIONER NO. 4","WRITE-IN"," ","2","0.565","Hospital"
"Lincoln","HOSPITAL DISTRICT 1 Proposition No. 1","Levy Yes"," ","264","73.3333","Hospital"
"Lincoln","HOSPITAL DISTRICT 1 Proposition No. 1","Levy No"," ","96","26.6667","Hospital"
"Mason","CITY OF SHELTON Council Member No. 3","Carl Rhodes"," ","116","12.0833","City/Town"
"Mason","CITY OF SHELTON Council Member No. 3","Douglas Peterson"," ","138","14.375","City/Town"
"Mason","CITY OF SHELTON Council Member No. 3","Sharon Schirman"," ","385","40.1042","City/Town"
"Mason","CITY OF SHELTON Council Member No. 3","Kenneth G Mobley"," ","306","31.875","City/Town"
"Mason","CITY OF SHELTON Council Member No. 3","WRITE-IN"," ","15","1.5625","City/Town"
"Mason","CITY OF SHELTON Renewal of Sales and Use Tax for Transportation Improvements","Approved"," ","698","71.8107","City/Town"
"Mason","CITY OF SHELTON Renewal of Sales and Use Tax for Transportation Improvements","Rejected"," ","274","28.1893","City/Town"
"Mason","Fire Protection Dist 12 Property Tax Levy for Fire Protection and Emergency Services","Levy...Yes"," ","152","55.4745","Fire"
"Mason","Fire Protection Dist 12 Property Tax Levy for Fire Protection and Emergency Services","Levy...No"," ","122","44.5255","Fire"
"Mason","FIRE PROTECTION DIST 16 (West Mason Fire) Property Tax Levy for Fire Protection and Emergency Medical Services","Levy...Yes"," ","352","56.6828","Fire"
"Mason","FIRE PROTECTION DIST 16 (West Mason Fire) Property Tax Levy for Fire Protection and Emergency Medical Services","Levy...No"," ","269","43.3172","Fire"
"Mason","Fire Protection Dist 17 Merger of Fire Protection District No. 17 into Fire Protection District No. 18","Approved"," ","196","92.0188","Fire"
"Mason","Fire Protection Dist 17 Merger of Fire Protection District No. 17 into Fire Protection District No. 18","Rejected"," ","17","7.9812","Fire"
"Mason","Mary M Knight School 311 School Board Director Position No. 1","Tracey Ushman"," ","87","35.3659","School"
"Mason","Mary M Knight School 311 School Board Director Position No. 1","Kayla Mali"," ","140","56.9106","School"
"Mason","Mary M Knight School 311 School Board Director Position No. 1","Tessa Fatland"," ","16","6.5041","School"
"Mason","Mary M Knight School 311 School Board Director Position No. 1","WRITE-IN"," ","3","1.2195","School"
"Okanogan","PUBLIC HOSPITAL DISTRICT NO. 1 Renewal of Special One-Year Excess Levy","Approved"," ","1811","72.6434","Hospital"
"Okanogan","PUBLIC HOSPITAL DISTRICT NO. 1 Renewal of Special One-Year Excess Levy","Rejected"," ","682","27.3566","Hospital"
"Okanogan","CITY OF OROVILLE Proposition 1 City of Oroville Emergency Medical Care and Ambulance Services Levy","Yes"," ","120","53.5714","City/Town"
"Okanogan","CITY OF OROVILLE Proposition 1 City of Oroville Emergency Medical Care and Ambulance Services Levy","No"," ","104","46.4286","City/Town"
"Okanogan","OROVILLE EMS DISTRICT Proposition 1 Oroville Rural Emergency Medical Services District Emergency Medical Care and Ambulance Services Property Tax Levy","Yes"," ","230","50.3282","EMS"
"Okanogan","OROVILLE EMS DISTRICT Proposition 1 Oroville Rural Emergency Medical Services District Emergency Medical Care and Ambulance Services Property Tax Levy","No"," ","227","49.6718","EMS"
"Okanogan","TONASKET EMS DISTRICT Proposition 1 Tonasket Emergency Medical Services District Emergency Medical Care and Ambulance Services Property Tax Levy","Yes"," ","630","54.2636","EMS"
"Okanogan","TONASKET EMS DISTRICT Proposition 1 Tonasket Emergency Medical Services District Emergency Medical Care and Ambulance Services Property Tax Levy","No"," ","531","45.7364","EMS"
"Pacific","City of Ilwaco Mayor","Eddie Hillard"," ","166","68.3128","City/Town"
"Pacific","City of Ilwaco Mayor","Michael K. Mathis"," ","8","3.2922","City/Town"
"Pacific","City of Ilwaco Mayor","Mike Cassinelli"," ","65","26.749","City/Town"
"Pacific","City of Ilwaco Mayor","WRITE-IN"," ","4","1.6461","City/Town"
"Pacific","South Beach Regional Fire Authority Emergency Medical Services Levy Lid Lift","Approved"," ","126","69.6133","Fire"
"Pacific","South Beach Regional Fire Authority Emergency Medical Services Levy Lid Lift","Rejected"," ","55","30.3867","Fire"
"Pend Oreille","FIRE PROTECTION DISTRICT - 02 Increase Size of Board of Commissioners from 3 to 5","Yes"," ","339","50.4464","Fire"
"Pend Oreille","FIRE PROTECTION DISTRICT - 02 Increase Size of Board of Commissioners from 3 to 5","No"," ","333","49.5536","Fire"
"Pend Oreille","TOWN OF METALINE FALLS Mayor","Tara Leininger"," ","20","22.9885","City/Town"
"Pend Oreille","TOWN OF METALINE FALLS Mayor","Walter Minsal"," ","31","35.6322","City/Town"
"Pend Oreille","TOWN OF METALINE FALLS Mayor","Sherice McAnerin"," ","35","40.2299","City/Town"
"Pend Oreille","TOWN OF METALINE FALLS Mayor","WRITE-IN"," ","1","1.1494","City/Town"
"Pierce","LEGISLATIVE DISTRICT 26 State Senator","Michelle Caldier","(Prefers Republican Party)","8490","50.4007","Legislative"
"Pierce","LEGISLATIVE DISTRICT 26 State Senator","Deb Krishnadasan","(Prefers Democratic Party)","8325","49.4212","Legislative"
"Pierce","LEGISLATIVE DISTRICT 26 State Senator","WRITE-IN"," ","30","0.1781","Legislative"
"Pierce","COUNTY COUNCIL DISTRICT NO. 5 Council - District No. 5","Terry Wise","(Prefers Republican Party)","4169","42.0814","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 5 Council - District No. 5","Bryan Yambe","(Prefers Democratic Party)","3859","38.9523","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 5 Council - District No. 5","Kimber Starr","(Prefers Democratic Party)","1870","18.8755","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 5 Council - District No. 5","WRITE-IN"," ","9","0.0908","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 1 Charter Review Dist. 1 Pos. 3","Sam Bath"," ","466","4.2526","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 1 Charter Review Dist. 1 Pos. 3","Jerome O'Leary"," ","6569","59.9471","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 1 Charter Review Dist. 1 Pos. 3","Tamara Stramel"," ","3894","35.5357","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 1 Charter Review Dist. 1 Pos. 3","WRITE-IN"," ","29","0.2646","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 2 Charter Review Dist. 2 Pos. 2","Brenda Milewski"," ","7335","59.8629","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 2 Charter Review Dist. 2 Pos. 2","Marianna Hyke"," ","3540","28.8909","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 2 Charter Review Dist. 2 Pos. 2","Julia Perkinson"," ","1329","10.8463","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 2 Charter Review Dist. 2 Pos. 2","WRITE-IN"," ","49","0.3999","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 2 Charter Review Dist. 2 Pos. 3","Teresa Maston"," ","3045","24.9754","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 2 Charter Review Dist. 2 Pos. 3","Elizabeth Herrera"," ","8183","67.1178","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 2 Charter Review Dist. 2 Pos. 3","Bruce White"," ","896","7.3491","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 2 Charter Review Dist. 2 Pos. 3","WRITE-IN"," ","68","0.5577","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 3 Charter Review Dist. 3 Pos. 3","John Linboe"," ","3004","36.8951","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 3 Charter Review Dist. 3 Pos. 3","Hollie Rogge"," ","3405","41.8202","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 3 Charter Review Dist. 3 Pos. 3","Nichole Weber"," ","1701","20.8917","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 3 Charter Review Dist. 3 Pos. 3","WRITE-IN"," ","32","0.393","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 4 Charter Review Dist. 4 Pos. 1","Thai Vo"," ","1218","10.5136","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 4 Charter Review Dist. 4 Pos. 1","Kate Ginn"," ","3649","31.4976","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 4 Charter Review Dist. 4 Pos. 1","Maricres (MarMar) Castro"," ","3241","27.9758","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 4 Charter Review Dist. 4 Pos. 1","Vince Navarre"," ","3431","29.6159","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 4 Charter Review Dist. 4 Pos. 1","WRITE-IN"," ","46","0.3971","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 4 Charter Review Dist. 4 Pos. 3","Michael Catsi"," ","4528","39.5735","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 4 Charter Review Dist. 4 Pos. 3","Jake Hunter"," ","3485","30.458","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 4 Charter Review Dist. 4 Pos. 3","Max J. Heller, III"," ","3360","29.3655","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 4 Charter Review Dist. 4 Pos. 3","WRITE-IN"," ","69","0.603","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 5 Charter Review Dist. 5 Pos. 1","Mason D. Fletcher"," ","3095","32.2799","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 5 Charter Review Dist. 5 Pos. 1","David Perry"," ","3425","35.7217","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 5 Charter Review Dist. 5 Pos. 1","Giovanni Vendetti"," ","3034","31.6437","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 5 Charter Review Dist. 5 Pos. 1","WRITE-IN"," ","34","0.3546","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 5 Charter Review Dist. 5 Pos. 2","Lori L. Jordan"," ","1402","14.6868","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 5 Charter Review Dist. 5 Pos. 2","Troy Serad"," ","4440","46.5116","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 5 Charter Review Dist. 5 Pos. 2","Brett Johnson"," ","3652","38.2569","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 5 Charter Review Dist. 5 Pos. 2","WRITE-IN"," ","52","0.5447","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 5 Charter Review Dist. 5 Pos. 3","Carole Sue Braaten"," ","3052","32.7047","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 5 Charter Review Dist. 5 Pos. 3","Jenn Marie Strickling"," ","3068","32.8761","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 5 Charter Review Dist. 5 Pos. 3","Levi Lyon"," ","1332","14.2735","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 5 Charter Review Dist. 5 Pos. 3","Amin &quot;Tony&quot; Hester"," ","1788","19.1599","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 5 Charter Review Dist. 5 Pos. 3","WRITE-IN"," ","92","0.9859","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 6 Charter Review Dist. 6 Pos. 1","Danny Hankins"," ","2191","22.94","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 6 Charter Review Dist. 6 Pos. 1","George Conzuelo"," ","3948","41.336","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 6 Charter Review Dist. 6 Pos. 1","John P. Colvin"," ","3379","35.3785","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 6 Charter Review Dist. 6 Pos. 1","WRITE-IN"," ","33","0.3455","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 6 Charter Review Dist. 6 Pos. 2","Sam Scott"," ","3542","36.969","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 6 Charter Review Dist. 6 Pos. 2","Cameron Kastner"," ","998","10.4164","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 6 Charter Review Dist. 6 Pos. 2","Lisa T. Boyd"," ","5003","52.2179","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 6 Charter Review Dist. 6 Pos. 2","WRITE-IN"," ","38","0.3966","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 7 Charter Review Dist. 7 Pos. 1","Pat McMonigle"," ","4756","17.9478","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 7 Charter Review Dist. 7 Pos. 1","Jerry Thorpe"," ","812","3.0643","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 7 Charter Review Dist. 7 Pos. 1","Justin Leighton"," ","8596","32.439","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 7 Charter Review Dist. 7 Pos. 1","David Seago"," ","4257","16.0648","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 7 Charter Review Dist. 7 Pos. 1","Stacie Snuffin"," ","2641","9.9664","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 7 Charter Review Dist. 7 Pos. 1","Gary Wescott"," ","3474","13.1099","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 7 Charter Review Dist. 7 Pos. 1","Randy Boss"," ","1924","7.2607","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 7 Charter Review Dist. 7 Pos. 1","WRITE-IN"," ","39","0.1472","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 7 Charter Review Dist. 7 Pos. 2","Brenda Lykins"," ","14994","57.9344","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 7 Charter Review Dist. 7 Pos. 2","Gary Parker"," ","9047","34.9561","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 7 Charter Review Dist. 7 Pos. 2","David Moylan"," ","1786","6.9008","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 7 Charter Review Dist. 7 Pos. 2","WRITE-IN"," ","54","0.2086","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 7 Charter Review Dist. 7 Pos. 3","Martha Lantz"," ","10863","41.1649","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 7 Charter Review Dist. 7 Pos. 3","Damon Townsend"," ","2207","8.3633","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 7 Charter Review Dist. 7 Pos. 3","Jesse L. Young"," ","8691","32.9342","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 7 Charter Review Dist. 7 Pos. 3","Julie A. Murray"," ","4583","17.3671","County"
"Pierce","COUNTY COUNCIL DISTRICT NO. 7 Charter Review Dist. 7 Pos. 3","WRITE-IN"," ","45","0.1705","County"
"Pierce","PORT OF TACOMA Commissioner - Position No. 1","Tim Payne"," ","29710","33.6234","Port"
"Pierce","PORT OF TACOMA Commissioner - Position No. 1","Randy Wilson"," ","17299","19.5776","Port"
"Pierce","PORT OF TACOMA Commissioner - Position No. 1","John McCarthy"," ","41076","46.4866","Port"
"Pierce","PORT OF TACOMA Commissioner - Position No. 1","WRITE-IN"," ","276","0.3124","Port"
"Pierce","PORT OF TACOMA Commissioner - Position No. 4","Cyrus Donato"," ","35184","39.9532","Port"
"Pierce","PORT OF TACOMA Commissioner - Position No. 4","JT Wilcox"," ","37315","42.3731","Port"
"Pierce","PORT OF TACOMA Commissioner - Position No. 4","Dan Knox"," ","15332","17.4103","Port"
"Pierce","PORT OF TACOMA Commissioner - Position No. 4","WRITE-IN"," ","232","0.2634","Port"
"Pierce","CITY OF AUBURN Mayor","Ronnie Morgan"," ","112","15.1351","City/Town"
"Pierce","CITY OF AUBURN Mayor","Nancy Backus"," ","512","69.1892","City/Town"
"Pierce","CITY OF AUBURN Mayor","Yolanda Trout"," ","111","15","City/Town"
"Pierce","CITY OF AUBURN Mayor","WRITE-IN"," ","5","0.6757","City/Town"
"Pierce","CITY OF AUBURN Council Position No. 4","Brian Lott"," ","315","44.2416","City/Town"
"Pierce","CITY OF AUBURN Council Position No. 4","Erica Tomas"," ","270","37.9213","City/Town"
"Pierce","CITY OF AUBURN Council Position No. 4","Yuval Fleming"," ","127","17.8371","City/Town"
"Pierce","CITY OF AUBURN Council Position No. 4","WRITE-IN"," ","0","0","City/Town"
"Pierce","CITY OF AUBURN Council Position No. 6","Cobi Clark"," ","184","26.2108","City/Town"
"Pierce","CITY OF AUBURN Council Position No. 6","Lisa M. Stirgus"," ","325","46.2963","City/Town"
"Pierce","CITY OF AUBURN Council Position No. 6","James Jeyaraj"," ","192","27.3504","City/Town"
"Pierce","CITY OF AUBURN Council Position No. 6","WRITE-IN"," ","1","0.1425","City/Town"
"Pierce","CITY OF LAKEWOOD Council - Position No. 1","Ellen Talbo"," ","2366","41.1335","City/Town"
"Pierce","CITY OF LAKEWOOD Council - Position No. 1","Chas Ames"," ","732","12.726","City/Town"
"Pierce","CITY OF LAKEWOOD Council - Position No. 1","Alice Fong"," ","791","13.7517","City/Town"
"Pierce","CITY OF LAKEWOOD Council - Position No. 1","Mark Herr"," ","1850","32.1627","City/Town"
"Pierce","CITY OF LAKEWOOD Council - Position No. 1","WRITE-IN"," ","13","0.226","City/Town"
"Pierce","CITY OF LAKEWOOD Council - Position No. 3","Jennifer Lamari"," ","2235","39.9392","City/Town"
"Pierce","CITY OF LAKEWOOD Council - Position No. 3","Philip Lindholm"," ","3179","56.8084","City/Town"
"Pierce","CITY OF LAKEWOOD Council - Position No. 3","Taylor Whitt"," ","159","2.8413","City/Town"
"Pierce","CITY OF LAKEWOOD Council - Position No. 3","WRITE-IN"," ","23","0.411","City/Town"
"Pierce","CITY OF MILTON Mayor","Steve Whitaker"," ","330","33.1992","City/Town"
"Pierce","CITY OF MILTON Mayor","Megan Sheridan"," ","241","24.2455","City/Town"
"Pierce","CITY OF MILTON Mayor","Bruce White"," ","422","42.4547","City/Town"
"Pierce","CITY OF MILTON Mayor","WRITE-IN"," ","1","0.1006","City/Town"
"Pierce","CITY OF ORTING Mayor","Scott Drennen"," ","230","32.2129","City/Town"
"Pierce","CITY OF ORTING Mayor","Stanley Holland"," ","147","20.5882","City/Town"
"Pierce","CITY OF ORTING Mayor","Gregory Alan Hogan"," ","62","8.6835","City/Town"
"Pierce","CITY OF ORTING Mayor","Chris Moore"," ","245","34.3137","City/Town"
"Pierce","CITY OF ORTING Mayor","Jim Rutt"," ","28","3.9216","City/Town"
"Pierce","CITY OF ORTING Mayor","WRITE-IN"," ","2","0.2801","City/Town"
"Pierce","CITY OF ORTING Council - Position No. 1","Brandiwyn Bendt"," ","103","14.7143","City/Town"
"Pierce","CITY OF ORTING Council - Position No. 1","Ed Torres"," ","355","50.7143","City/Town"
"Pierce","CITY OF ORTING Council - Position No. 1","Tom Bush"," ","241","34.4286","City/Town"
"Pierce","CITY OF ORTING Council - Position No. 1","WRITE-IN"," ","1","0.1429","City/Town"
"Pierce","CITY OF ORTING Council - Position No. 2","John Williams"," ","304","43.9942","City/Town"
"Pierce","CITY OF ORTING Council - Position No. 2","Angie Bybee"," ","202","29.233","City/Town"
"Pierce","CITY OF ORTING Council - Position No. 2","Trevor A. Smith"," ","181","26.1939","City/Town"
"Pierce","CITY OF ORTING Council - Position No. 2","WRITE-IN"," ","4","0.5789","City/Town"
"Pierce","TOWN OF STEILACOOM Proposition No. 1","YES"," ","558","34.4444","City/Town"
"Pierce","TOWN OF STEILACOOM Proposition No. 1","NO"," ","1062","65.5556","City/Town"
"Pierce","TOWN OF STEILACOOM Council - Position No. 2","Cindy Haverkamp"," ","719","46.0307","City/Town"
"Pierce","TOWN OF STEILACOOM Council - Position No. 2","Paul &quot;P.K.&quot; Thumbi"," ","472","30.2177","City/Town"
"Pierce","TOWN OF STEILACOOM Council - Position No. 2","Andrew Davis"," ","366","23.4315","City/Town"
"Pierce","TOWN OF STEILACOOM Council - Position No. 2","WRITE-IN"," ","5","0.3201","City/Town"
"Pierce","CITY OF SUMNER Mayor","Carla Bowman"," ","449","38.3106","City/Town"
"Pierce","CITY OF SUMNER Mayor","Bill Pugh"," ","628","53.5836","City/Town"
"Pierce","CITY OF SUMNER Mayor","David R. Shelvey"," ","92","7.8498","City/Town"
"Pierce","CITY OF SUMNER Mayor","WRITE-IN"," ","3","0.256","City/Town"
"Pierce","CITY OF SUMNER Council - Position No. 3","Tina Burnett"," ","239","21.5704","City/Town"
"Pierce","CITY OF SUMNER Council - Position No. 3","Amy A. Huo"," ","292","26.3538","City/Town"
"Pierce","CITY OF SUMNER Council - Position No. 3","Mark Evers"," ","575","51.8953","City/Town"
"Pierce","CITY OF SUMNER Council - Position No. 3","WRITE-IN"," ","2","0.1805","City/Town"
"Pierce","CITY OF TACOMA Mayor","Steve Haverly"," ","3221","14.1502","City/Town"
"Pierce","CITY OF TACOMA Mayor","Jesus &quot;Jesse&quot; Carlos"," ","2427","10.662","City/Town"
"Pierce","CITY OF TACOMA Mayor","Whitney Stevens"," ","3307","14.528","City/Town"
"Pierce","CITY OF TACOMA Mayor","Anthony (Tony) Ginn"," ","586","2.5744","City/Town"
"Pierce","CITY OF TACOMA Mayor","Anders Ibsen"," ","8551","37.5653","City/Town"
"Pierce","CITY OF TACOMA Mayor","John Hines"," ","4611","20.2566","City/Town"
